sale,title,price,date
site,Martelete Perfurador e Rompedor 800W 220v SHR263K-B2 Stanley,763.6,2025-01-03 11:49:18.473286
site,"Combo Parafusadeira + Furadeira de Impacto + Kit de Brocas + Bateria de Íons de Lítio 2,0Ah + Maleta de Alumínio Bosch",1324.89,2025-01-03 11:49:18.474287
site,Tupia para Laminados 1/4 Pol 550W ST55-BR 110v Stanley,403.88,2025-01-03 11:49:18.474287
site,Serra Tico-Tico 450W 110v GST 650 Bosch,367.08,2025-01-03 11:49:18.474287
site,Serra Circular 7 1/4 pol 1600W 110V SC16 Stanley,776.61,2025-01-03 11:49:18.474287
site,Soprador de Ar 500W SPT500-BR 110v Stanley,330.28,2025-01-03 11:49:18.474287
site,Coladeira de Borda Eletronic 1650W 220V Motor Monofásico IC-1000 Inmes,8838.99,2025-01-03 11:49:18.475286
site,Tupia para Laminados 1/4 Pol 550W ST55-B2 220v Stanley,403.88,2025-01-03 11:49:18.475286
site,Combo Furadeira e Parafusadeira HP333 + Martelete Rotativo HR140DZ  + 3 Baterias 12V 1.5Ah Makita,1575.67,2025-01-03 11:49:18.475286
site,Serra Circular 7 1/4 pol 1600W 220v SC16 Stanley,776.61,2025-01-03 11:49:18.475286
site,Martelete Rompedor e Perfurador SDS Plus 800W 110v SHR264K-BR Stanley,901.04,2025-01-03 11:49:18.475286
site,Seccionadora Horizontal Motor Trifásico SH-2945 Baldan,88034.8,2025-01-03 11:49:18.476287
